field,type
crawl_mobile_SUM_TM_WW_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_MIDNIGT_ACT_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_WW_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_MORN_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_NOON_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_NIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WW_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WW_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WW_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_WD_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_WD_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_WD_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_SM_NWD_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_TM_NWD_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_SUM_OM_NWD_MIDNIGT_NEG_ContactDuration,numeric
crawl_mobile_MAX_SM_WW_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_WW_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_WW_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_WD_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_WD_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_WD_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_NWD_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_NWD_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_NWD_WW_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_WW_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_WW_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_WW_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_WD_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_WD_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_WD_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_NWD_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_NWD_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_NWD_MORN_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_WW_NOON_WW_ContactDuration,numeric
crawl_mobile_MAX_TM_WW_NOON_WW_ContactDuration,numeric
crawl_mobile_MAX_OM_WW_NOON_WW_ContactDuration,numeric
crawl_mobile_MAX_SM_WD_NOON_WW_ContactDuration,numeric
